latitude,longitude,clusterid
40.63379,-74.142784,-1
40.617218,-74.01599,-1
40.69267,-73.991905,2
40.64557,-73.97279,2
40.62919,-73.98745,-1
40.60916,-74.07534,-1
40.680122,-73.8429,5
40.70958,-73.796265,5
40.7046,-73.81018,5
40.854675,-73.88326,1
40.747913,-73.86769,3
40.712055,-73.96615,2
40.706337,-73.88052,-1
40.782856,-73.910736,-1
40.686825,-73.93881,2
40.60924,-73.95644,2
40.64802,-73.979546,2
40.86788,-73.925644,1
40.618877,-73.908936,-1
40.689137,-73.990715,2
40.74777,-73.882744,3
40.710114,-73.77859,5
40.844574,-73.9345,1
40.67267,-73.770294,5
40.760777,-73.93414,3
40.664677,-73.937546,2
40.543774,-74.17518,-1
40.834568,-73.89447,1
40.610218,-73.98397,2
40.69201,-73.991234,2
40.79209,-73.973656,1
40.719326,-73.87688,-1
40.69706,-73.91933,2
40.70321,-73.94626,2
40.81752,-73.86208,1
40.69452,-73.80079,5
40.640556,-73.976875,2
40.783237,-73.95846,1
40.65961,-73.935814,2
40.639782,-73.91673,2
40.83924,-73.86668,1
40.7996,-73.93881,1
40.71976,-73.94476,2
40.822697,-73.87001,1
40.680027,-73.83997,5
40.723553,-73.87253,3
40.760353,-73.973465,1
40.752514,-73.86515,3
40.68592,-73.846924,5
40.66384,-73.91104,2
40.672565,-73.87564,2
40.68719,-73.974625,2
40.842075,-73.834724,-1
40.752407,-73.97957,1
40.844902,-73.89011,1
40.734318,-73.85291,3
40.774124,-73.899185,-1
40.617702,-74.09408,-1
40.616756,-73.93788,2
40.65686,-73.92703,2
40.55723,-74.14688,-1
40.587776,-73.93506,-1
40.747196,-73.86033,3
40.856434,-73.886826,1
40.62505,-74.01913,2
40.714333,-73.94658,2
40.85198,-73.91018,1
40.578873,-74.078926,-1
40.710835,-73.745445,-1
40.711533,-73.73573,-1
40.680557,-73.881,2
40.76923,-73.986755,1
40.719692,-73.90159,2
40.713,-73.82203,5
40.647068,-73.91858,2
40.61789,-74.084045,-1
40.69266,-73.780876,-1
40.738277,-73.721466,-1
40.686367,-73.96873,2
40.90022,-73.8535,1
40.727962,-73.94918,2
40.684513,-73.909386,2
40.811634,-73.88284,1
40.859325,-73.93132,1
40.740074,-73.871475,3
40.7306,-73.94533,2
40.681618,-73.99853,2
40.69643,-73.75106,-1
40.560223,-74.13504,-1
40.693817,-73.80296,5
40.857426,-73.89111,1
40.607185,-73.97373,2
40.65584,-73.919586,2
40.595257,-73.74851,4
40.67604,-73.89373,2
40.656044,-73.7274,-1
40.76757,-73.90052,3
40.736145,-73.91155,3
40.755505,-73.92291,3
40.682056,-73.990875,2
40.683422,-73.98994,2
40.697273,-73.79444,5
40.739777,-73.88037,3
40.607037,-74.00069,2
40.65542,-73.9229,2
40.822468,-73.86733,1
40.783897,-73.97407,1
40.728603,-74.005325,1
40.602913,-74.01076,-1
40.76235,-73.92619,3
40.693348,-73.830536,5
40.803585,-73.91552,1
40.643425,-74.01207,2
40.574974,-73.8504,-1
40.837784,-73.852486,1
40.562218,-74.12548,-1
40.662663,-73.86114,-1
40.664864,-73.89697,2
40.71975,-73.992165,1
40.610916,-73.98447,2
40.75558,-73.79129,-1
40.70791,-73.945015,2
40.82468,-73.95223,1
40.815662,-73.86165,1
40.600506,-74.177284,-1
40.665398,-73.82952,5
40.812294,-73.95338,1
40.77452,-73.84824,-1
40.736668,-73.90279,3
40.581036,-73.94412,2
40.865105,-73.91846,1
40.576023,-74.13615,-1
40.686287,-73.9695,2
40.812073,-73.93604,1
40.67221,-73.92802,2
40.683067,-74.000984,2
40.85009,-73.84744,1
40.7558,-73.86535,3
40.714382,-73.93345,2
40.646557,-73.95742,2
40.611008,-73.98439,2
40.88379,-73.83348,1
40.73239,-73.85149,3
40.672447,-73.892136,2
40.6919,-73.82888,5
40.721714,-73.97887,1
40.73833,-73.8499,3
40.61911,-73.93305,2
40.72125,-73.99224,1
40.72473,-73.73006,-1
40.712452,-73.882065,-1
40.66351,-73.769005,5
40.862595,-73.83153,-1
40.67775,-73.86772,2
40.636124,-74.00298,2
40.599915,-73.91165,-1
40.7863,-73.9401,1
40.76255,-73.97219,1
40.79944,-73.95531,1
40.70253,-73.8143,5
40.705334,-73.931625,2
40.599842,-73.96807,2
40.65857,-73.9173,2
40.671677,-73.97925,2
40.61831,-73.991035,2
40.843452,-73.892876,1
40.60768,-73.75206,4
40.816906,-73.92087,1
40.750305,-73.71264,-1
40.59599,-73.94047,-1
40.743217,-73.83403,3
40.681858,-73.89372,2
40.839294,-73.88418,1
40.576782,-73.84849,-1
40.603004,-73.96156,2
40.832954,-73.85444,1
40.779163,-73.9871,1
40.596066,-74.14187,-1
40.691643,-73.9818,2
40.72466,-73.951294,2
40.685154,-73.83012,5
40.740543,-73.9382,3
40.71118,-73.93769,2
40.599415,-73.95105,-1
40.714405,-73.99023,1
